screen_name,state,URLs
AZSenateGOP,AZ,"http://tinyurl.com/h7hsacq,http://tinyurl.com/h8lbety,http://tinyurl.com/jrx8sjx,http://tinyurl.com/hgtttdw,http://tinyurl.com/hmvmbgu"
ColoSenGOP,Colorado,"https://twitter.com/SCOTTFORCOLO/status/687351741076000768,http://www.denverpost.com/news/ci_29364773/conservative-split-challenges-republican-majority-colorado-senate,http://www.denverpost.com/news/ci_29342099/colorados-limping-immigrant-drivers-program-faces-many-more,https://www.youtube.com/watch?v=neKjWTvtT_k,http://www.realclearpolitics.com/articles/2016/01/11/high_court_seems_ready_to_scrap_mandatory_public_union_fees_129274.html,http://www.thedailybeast.com/articles/2016/01/03/how-liberals-are-the-new-autocrats.html,https://twitter.com/SenatorCrowder/status/689915638177902592,https://www.cpr.org/news/story/environmental-groups-eye-federal-coal-lease-case-colorado,http://www.postindependent.com/news/19150553-113/blm-cancel-thompson-divide-gas-leases,http://thehill.com/policy/energy-environment/265924-new-mexico-to-sue-epa-for-mine-waste-spill,http://gazette.com/colorado-sen.-cadman-still-a-believer-in-democratic-process-embarks-on-final-term-in-legislature/article/1567053,https://d3n8a8pro7vhmx.cloudfro"
FloridaGOP,FL,"http://www.sunshinestatenews.com/story/10000-school-choice-supporters-rally-tally,http://www.florida.gop/schoolchoice,http://florida.gop/foxbusdebate114,https://gop.com/the-top-5-rules-clinton-broke/,http://money.cnn.com/2016/01/13/news/economy/obama-jobs-state-of-the-union/index.html?sr=twCNN011316ews/economy/obama-jobs-state-of-the-union/index.html%25200436PMStoryLink&linkId=20329492,http://bit.ly/gopprespoll,http://florida.gop/questionsforhillary,http://www.florida.gop/stop_hillary,http://americarisingpac.org/the-clinton-campaign-is-really-worried-about-iowa/,http://www.washingtonexaminer.com/obamas-new-gun-control-force-8-times-the-size-of-pentagons-isis-commando-team/article/2579594,http://thehill.com/blogs/ballot-box/other-races/265044-liberal-group-demands-dnc-chair-resign,https://www.youtube.com/watch?v=kqYefKMNGe4,https://gop.com/clinton-goes-way-back-with-wall-street/,https://gop.com/clinton-directed-staff-to-send-secure-info-through-insecure-means/,http://thehill.com/blogs/congress-blog/presidentia"
FLSenateGOP,FL,"http://www.fox13news.com/news/local-news/67283688-story,http://fw.to/Mkfoovb,http://fb.me/751UvzGrK,http://bit.ly/1mIvE4t,http://bit.ly/1kPOe9r,http://bit.ly/LhQ81C,http://www.tcpalm.com/news/politics/local/senate-passes-negron-bill-to-prohibit-state-business-with-anti-israel-companies-29cd6f54-ac59-477f-e-366091371.html,https://twitter.com/lizbethkb/status/689098518145961984,http://bit.ly/1ZPQNM2,http://floridapolitics.com/archives/198224-vocational-rehab-performance-improvement-plan-clears-higher-education-committee"
gophawaii,Hawaii,"http://goo.gl/MXlBBB,http://gophawaii.com/?page_id=822,http://dlvr.it/DJqkym,https://twitter.com/HawaiiHouseGOP/status/687439110919696386,https://twitter.com/FoxNews/status/692120168525361153,http://goo.gl/broqIX,http://fb.me/40bKq6f68,http://eepurl.com/bM6c6z,http://bit.ly/1lpk0KK,http://goo.gl/rTYgOx,http://eepurl.com/bMOH71,https://youtu.be/hJgoR2CFefA,https://twitter.com/FoxNews/status/692120255032852482,http://bit.ly/1lQWnv1,http://fxn.ws/1IZA1mn"
gov_gilmore,na,"http://www.smhc-nh.org,http://www.necn.com/news/new-england/-Candidates-React-to-Obamas-Executive-Order-on-Guns-364305041.html,http://www.nytimes.com/2016/01/14/opinion/campaign-stops/why-i-will-never-vote-for-donald-trump.html?smid=nytcore-iphone-share&smprod=nytcore-iphone,http://abcn.ws/1H3IxIB,https://youtu.be/QeNo-aqOt-4,http://bostonheraldradio.com,http://www.foxnews.com/live-coverage/fox-news-google-gop-debate,http://nation.foxnews.com/2016/01/28/google-searches-jim-gilmore-spike-700-percent,https://twitter.com/NHPSC/status/684815194464333824,http://southcarolinateapartycoalition.com,http://www.gilmoreforamerica.com/barnstorms/,https://medium.com/@gov_gilmore/my-plan-for-economic-growth-395adc85a7b7#.osgg5kany,https://amp.twimg.com/v/95b51119-9132-4527-8e91-fe68bf18cb6d,http://www.wmur.com/politics/fitn-presidential-town-hall-in-nashua/37576896,https://twitter.com/FoxNews/status/692120168525361153,https://shar.es/16BEba,http://www.theatlantic.com/politics/archive/2016/01/jim-gilmore-republican-debate/4"
HeatherCarterAZ,AZ,"https://shar.es/16G4Sn,http://fb.me/3lxDGpaPl,https://twitter.com/arma_docs/status/693498090469261316,http://fb.me/4oTieJETf,http://fb.me/6X72wd2HE,https://twitter.com/uaphxfamilymed/status/692417718532902912"
IASenateGOP,IA,"http://iasen.gop/1OmCV3f,http://iasen.gop/011116"
IdahoGOP,Idaho,"https://twitter.com/foxnews/status/692121103913914368,http://www.buzzfeed.com/claudiakoerner/inspector-general-clinton-emails-contained-information-beyon,http://politi.co/1KJ6VCQ,https://gop.com/continuing-the-dream-by-committing-to-community/,https://twitter.com/randpaul/status/691815266632798208,http://fb.me/2fn3rjWMC,http://LeadRight2016.com,https://twitter.com/naghmehabedini/status/688371354165325826,https://twitter.com/injo/status/691833385048805384,http://nyti.ms/1kA9u2Z,http://wapo.st/1KIUebj,http://580kido.com/gop-debate-watch-party-this-thursday-night/,http://gop.cm/1O6eViH,http://www.idgop.org/page/winter-meeting,http://frontloading.blogspot.com/2016/01/2016-republican-delegate-allocation_25.html?m=1#.VqakMQtWXMU.twitter,https://twitter.com/idahogop/status/685608892324159489,https://www.periscope.tv/w/1gqxvwNNjPQKB,http://washex.am/20b4l4Z,https://twitter.com/bretbaier/status/687101292334854145,https://www.washingtonpost.com/news/the-fix/wp/2016/01/06/house-democrats-are-running-out-of-future-leader"
ILSenateGOP,IL,"http://fb.me/7sJPYoTZC,http://fb.me/7MS2BkOHW,http://fb.me/2uy9R0bcA,http://fb.me/3gxK1flND,http://fb.me/2gAVtaMQ9,http://fb.me/75oX5mItF,http://www.wandtv.com/story/30960527/senate-meets-no-ground-made-on-new-state-budget,http://fb.me/2HpPtk2yb,http://fb.me/3I7Bp74vf,http://fb.me/76vVHDYGo,http://fb.me/Uc8Lq8Os,http://fb.me/4nKt5GOQo,http://fb.me/3h9rBocDS,http://fb.me/7EhLNeWjQ,http://fb.me/3i0bMNNkJ,http://fb.me/84v333vDT,http://fb.me/5Cf7GuP1H,http://fb.me/2IHVhbeaF,http://fb.me/2tlnFqbT1,http://fb.me/24gvc3JFu,http://cityclub-chicago.org/live"
