statenum,states,hashtag_text
29,"Idaho,Texas,Wisconsin,Florida,Nevada,South Dakota,Nebraska,New York,Michigan,Oregon,North Carolina,Tennessee,Indiana,Missouri,Illinois,New Jersey,Maine,New Mexico,Rhode Island,New Hampshire,Hawaii,Louisiana,Mississippi,Virginia,Pennsylvania,West Virginia,Delaware,Ohio,South Carolina",GOPDebate
27,"Louisiana,Texas,Wisconsin,South Dakota,Delaware,South Carolina,Michigan,Florida,Nebraska,Idaho,Tennessee,West Virginia,North Carolina,New Jersey,New Hampshire,California,Arizona,Rhode Island,Virginia,Illinois,Mississippi,Pennsylvania,Maine,Missouri,Nevada,New York,Massachusetts",DemDebate
26,"Michigan,Oregon,South Dakota,Hawaii,West Virginia,Florida,Nebraska,Louisiana,North Carolina,Washington,Tennessee,Missouri,Indiana,Wisconsin,California,Delaware,Idaho,Illinois,Iowa,Connecticut,Mississippi,Colorado,Pennsylvania,Massachusetts,Virginia,Rhode Island",SOTU
25,"Ohio,Missouri,Iowa,Tennessee,Wisconsin,North Carolina,Michigan,South Carolina,West Virginia,Florida,New Mexico,Texas,California,Alabama,Alaska,Oklahoma,Colorado,Nevada,Arizona,Wyoming,Massachusetts,New Hampshire,Delaware,Nebraska,Louisiana",SCOTUS
23,"Texas,Colorado,Maryland,Nebraska,Indiana,Nevada,Idaho,Kentucky,Florida,California,Pennsylvania,Hawaii,North Carolina,West Virginia,Arizona,Utah,Tennessee,New York,Minnesota,Louisiana,Ohio,Wisconsin,Missouri",MLKDay
21,"Colorado,New York,Indiana,Rhode Island,Michigan,Georgia,South Dakota,Nebraska,Mississippi,Arizona,Hawaii,South Carolina,Tennessee,Maine,Missouri,Texas,Louisiana,New Mexico,Washington,Iowa,Idaho",gop
21,"Missouri,Vermont,Louisiana,Alaska,Texas,Alabama,Mississippi,Tennessee,Oregon,Michigan,Virginia,Maine,Arizona,West Virginia,Ohio,Florida,North Carolina,Wisconsin,Utah,Idaho,Nebraska",SuperTuesday
18,"Colorado,Michigan,Louisiana,North Carolina,Florida,Virginia,Nebraska,Pennsylvania,Nevada,Oregon,Indiana,West Virginia,New Jersey,Massachusetts,Wisconsin,Maryland,South Dakota,Alaska",EqualPayDay
18,"Florida,West Virginia,Michigan,Tennessee,Nevada,North Carolina,Minnesota,Alaska,Illinois,Wisconsin,Louisiana,Nebraska,Washington,Kentucky,New Hampshire,Colorado,Wyoming,Iowa",tbt
17,"Georgia,Wisconsin,North Carolina,Michigan,Tennessee,Vermont,Kentucky,New Jersey,Indiana,Virginia,Iowa,Arizona,Mississippi,Hawaii,Idaho,California,Illinois",BREAKING
16,"Massachusetts,Texas,Washington,Wisconsin,Iowa,Nebraska,Illinois,Kansas,Ohio,New Mexico,Hawaii,Alaska,Pennsylvania,Rhode Island,Missouri,Tennessee",Election2016
15,"Nebraska,California,Colorado,Louisiana,North Carolina,Pennsylvania,Nevada,Michigan,Florida,Washington,Wisconsin,New Jersey,Idaho,Maryland,West Virginia",EqualPay
15,"Texas,South Dakota,New Hampshire,Florida,Nebraska,Arizona,Colorado,North Carolina,Tennessee,Idaho,Missouri,Wyoming,Wisconsin,Louisiana,West Virginia",FeelTheBern
15,"Pennsylvania,Iowa,Hawaii,Tennessee,Ohio,California,Wisconsin,Illinois,North Carolina,Michigan,Georgia,Nevada,Missouri,New York,Alaska",FF
15,"Kentucky,Idaho,Indiana,Minnesota,Pennsylvania,Nevada,Virginia,Michigan,Missouri,Arizona,Wisconsin,Iowa,Massachusetts,Vermont,California",Periscope
14,"Iowa,Texas,Wisconsin,South Carolina,South Dakota,Tennessee,Vermont,Virginia,Oregon,North Carolina,Idaho,Michigan,New York,Nebraska",IowaCaucus
14,"Rhode Island,South Carolina,Wisconsin,North Carolina,Iowa,Indiana,Illinois,New Mexico,Arizona,Texas,Massachusetts,Mississippi,Michigan,Nevada",Trump
13,"Iowa,Alaska,Florida,Wisconsin,Kentucky,Michigan,Alabama,South Dakota,Louisiana,Arizona,Wyoming,Rhode Island,Colorado",medicaid
13,"Vermont,Rhode Island,Texas,New Hampshire,Michigan,Missouri,North Carolina,Wisconsin,South Carolina,Arizona,Idaho,New York,Nevada",NHPrimary
13,"Florida,Colorado,Missouri,Wisconsin,Arizona,Indiana,Alabama,Nebraska,North Carolina,Nevada,Tennessee,Virginia,Louisiana",SCOTUSnominee
12,"North Carolina,Rhode Island,West Virginia,Missouri,Maine,New Mexico,Mississippi,Utah,New York,Idaho,Tennessee,Nebraska",LeadRight2016
12,"Kentucky,Colorado,Tennessee,New York,Pennsylvania,Michigan,North Carolina,Oregon,Ohio,California,Florida,Illinois",SB50
11,"Arizona,Florida,Wisconsin,Nebraska,Illinois,Tennessee,Kansas,Indiana,Mississippi,South Carolina,North Carolina",Brussels
